"filename", "language", "Rust", "C#", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\graph_construction_layer.rs", "Rust", 317, 0, 0, 0, 83, 55, 455
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\hazard_detector.rs", "Rust", 229, 0, 0, 0, 88, 48, 365
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\mod.rs", "Rust", 0, 0, 0, 0, 2, 0, 2
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\system_edge.rs", "Rust", 227, 0, 0, 0, 63, 41, 331
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\system_node.rs", "Rust", 181, 0, 0, 0, 56, 42, 279
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\lib.rs", "Rust", 2, 0, 0, 0, 14, 0, 16
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\parallelization\parallelization_safety_model.rs", "Rust", 277, 0, 0, 0, 53, 32, 362
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\mod.rs", "Rust", 0, 0, 0, 0, 3, 0, 3
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\phase_segmentation_layer.rs", "Rust", 321, 0, 0, 0, 90, 50, 461
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\phase_validator.rs", "Rust", 211, 0, 0, 0, 61, 27, 299
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\scheduler\deterministic_scheduler_builder.rs", "Rust", 275, 0, 0, 0, 76, 39, 390
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\scheduler\parallel_group_analyzer.rs", "Rust", 252, 0, 0, 0, 89, 42, 383
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\sgc_pipeline.rs", "Rust", 221, 0, 0, 0, 42, 43, 306
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\mod.rs", "Rust", 5, 0, 0, 0, 4, 1, 10
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_conflict_analyzer.rs", "Rust", 117, 0, 0, 0, 13, 20, 150
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_cycle_detection.rs", "Rust", 304, 0, 0, 0, 10, 45, 359
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_dependency_resolution.rs", "Rust", 165, 0, 0, 0, 8, 19, 192
"c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_graph_construction.rs", "Rust", 116, 0, 0, 0, 8, 18, 142
"c:\Users\ankit\Downloads\xace\tests\determinism\mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 1
"c:\Users\ankit\Downloads\xace\tests\determinism\test_vertical_slice_determinism.rs", "Rust", 316, 0, 0, 0, 101, 67, 484
"Total", "-", 15111, 1280, 101, 6017, 7432, 4804, 34745
