"filename", "language", "Rust", "Markdown", "JSON with Comments", "TypeScript JSX", "C++", "C#", "JSON", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_id.rs", "Rust", 63, 0, 0, 0, 0, 0, 0, 0, 0, 69, 20, 152
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_metadata.rs", "Rust", 178, 0, 0, 0, 0, 0, 0, 0, 0, 93, 36, 307
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_state.rs", "Rust", 100, 0, 0, 0, 0, 0, 0, 0, 0, 67, 21, 188
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\determinism_error.rs", "Rust", 363, 0, 0, 0, 0, 0, 0, 0, 0, 140, 68, 571
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\xace_error.rs", "Rust", 386, 0, 0, 0, 0, 0, 0, 0, 0, 181, 59, 626
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_struct.rs", "Rust", 310, 0, 0, 0, 0, 0, 0, 0, 0, 142, 55, 507
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs", "Rust", 195, 0, 0, 0, 0, 0, 0, 0, 0, 120, 50, 365
"c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\core\src\lib.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs", "Rust", 457, 0, 0, 0, 0, 0, 0, 0, 0, 175, 70, 702
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs", "Rust", 427, 0, 0, 0, 0, 0, 0, 0, 0, 163, 78, 668
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs", "Rust", 307, 0, 0, 0, 0, 0, 0, 0, 0, 99, 57, 463
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\usmc_categories.rs", "Rust", 127, 0, 0, 0, 0, 0, 0, 0, 0, 117, 29, 273
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs", "Rust", 279, 0, 0, 0, 0, 0, 0, 0, 0, 100, 38, 417
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs", "Rust", 340, 0, 0, 0, 0, 0, 0, 0, 0, 128, 61, 529
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs", "Rust", 179, 0, 0, 0, 0, 0, 0, 0, 0, 89, 32, 300
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs", "Rust", 324, 0, 0, 0, 0, 0, 0, 0, 0, 155, 66, 545
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs", "Rust", 503, 0, 0, 0, 0, 0, 0, 0, 0, 226, 103, 832
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs", "Rust", 298, 0, 0, 0, 0, 0, 0, 0, 0, 149, 61, 508
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs", "Rust", 266, 0, 0, 0, 0, 0, 0, 0, 0, 133, 57, 456
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs", "Rust", 191, 0, 0, 0, 0, 0, 0, 0, 0, 106, 44, 341
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\mod.rs", "Rust", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs", "Rust", 304, 0, 0, 0, 0, 0, 0, 0, 0, 167, 64, 535
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs", "Rust", 347, 0, 0, 0, 0, 0, 0, 0, 0, 153, 70, 570
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs", "Rust", 313, 0, 0, 0, 0, 0, 0, 0, 0, 155, 82, 550
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ai_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\animation_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs", "Rust", 210, 0, 0, 0, 0, 0, 0, 0, 0, 111, 50, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\camera_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs", "Rust", 211, 0, 0, 0, 0, 0, 0, 0, 0, 102, 58, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\damage_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs", "Rust", 196, 0, 0, 0, 0, 0, 0, 0, 0, 128, 43, 367
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs", "Rust", 237, 0, 0, 0, 0, 0, 0, 0, 0, 109, 58, 404
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\health_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs", "Rust", 159, 0, 0, 0, 0, 0, 0, 0, 0, 71, 31, 261
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs", "Rust", 152, 0, 0, 0, 0, 0, 0, 0, 0, 93, 39, 284
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\interaction_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\inventory_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs", "Rust", 208, 0, 0, 0, 0, 0, 0, 0, 0, 87, 41, 336
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\mod.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 28
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\movement_intent_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\persistence_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs", "Rust", 182, 0, 0, 0, 0, 0, 0, 0, 0, 104, 44, 330
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\rigidbody_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\spawner_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\stats_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\surface_properties_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs", "Rust", 111, 0, 0, 0, 0, 0, 0, 0, 0, 46, 27, 184
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\trigger_zone_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs", "Rust", 289, 0, 0, 0, 0, 0, 0, 0, 0, 119, 54, 462
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs", "Rust", 174, 0, 0, 0, 0, 0, 0, 0, 0, 79, 38, 291
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\world_streaming_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs", "Rust", 347, 0, 0, 0, 0, 0, 0, 0, 0, 153, 74, 574
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs", "Rust", 287, 0, 0, 0, 0, 0, 0, 0, 0, 171, 81, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs", "Rust", 129, 0, 0, 0, 0, 0, 0, 0, 0, 88, 26, 243
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs", "Rust", 329, 0, 0, 0, 0, 0, 0, 0, 0, 142, 68, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs", "Rust", 373, 0, 0, 0, 0, 0, 0, 0, 0, 130, 58, 561
"c:\Users\ankit\Downloads\xace\packages\dcl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\ankit\Downloads\xace\packages\dcl\ai\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 174, 12, 3, 189
"c:\Users\ankit\Downloads\xace\packages\dcl\audio\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 146, 11, 3, 160
"c:\Users\ankit\Downloads\xace\packages\dcl\camera\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 131, 10, 3, 144
"c:\Users\ankit\Downloads\xace\packages\dcl\character\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 257, 15, 3, 275
"c:\Users\ankit\Downloads\xace\packages\dcl\combat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 213, 12, 2, 227
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 356, 215, 87, 658
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 500, 185, 79, 764
"c:\Users\ankit\Downloads\xace\packages\dcl\domain_package.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 349, 145, 74, 568
"c:\Users\ankit\Downloads\xace\packages\dcl\gcl_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 357, 144, 65, 566
"c:\Users\ankit\Downloads\xace\packages\dcl\gcl_validator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 402, 119, 71, 592
"c:\Users\ankit\Downloads\xace\packages\dcl\interaction\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 153, 11, 3, 167
"c:\Users\ankit\Downloads\xace\packages\dcl\network\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 113, 10, 3, 126
"c:\Users\ankit\Downloads\xace\packages\dcl\persistence\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 146, 11, 3, 160
"c:\Users\ankit\Downloads\xace\packages\dcl\physics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 160, 11, 3, 174
"c:\Users\ankit\Downloads\xace\packages\dcl\rpg\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 162, 12, 3, 177
"c:\Users\ankit\Downloads\xace\packages\dcl\stealth\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 116, 10, 3, 129
"c:\Users\ankit\Downloads\xace\packages\dcl\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 114, 10, 2, 126
"c:\Users\ankit\Downloads\xace\packages\dcl\world\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 226, 13, 3, 242
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\build.rs", "Rust", 27, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 63
