"filename", "language", "JSON with Comments", "Markdown", "JSON", "C++", "C#", "Python", "Rust", "TypeScript JSX", "pip requirements", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\command_palette\search_engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 32, 25, 232
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\console\decision_bar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 20, 28, 297
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\console\ingame_console.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 9
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\console\xace_terminal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 403, 0, 37, 57, 497
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\graph\schema_graph_view.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 523, 0, 58, 93, 674
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\graph\system_node_graph.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 18, 40, 373
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\layout\bottom_bar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 430, 0, 21, 35, 486
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\layout\main_layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 604, 0, 47, 57, 708
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\panels\asset_link_dialog.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\panels\asset_status_panel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 28, 40, 346
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\engine_viewport.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 435, 0, 7, 45, 487
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\entity_inspector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 0, 27, 44, 455
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\runtime_stats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 15, 26, 209
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\tick_debugger.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 19, 18, 202
